index,layer,start_time_nsec,bandwidth(kb/s)
0,6,87965938499,66976.25743998954
1,6,143592158901,713681.1755952381
2,6,113583390012,2006052.9968077545
3,6,112080723011,3131187.0784317665
4,6,112060853094,3000030.681551021
5,6,112040721302,2954383.2624642295
6,6,112020800719,2850613.0860316567
7,6,111973143844,2080856.356136513
8,6,111947242886,1921126.43680078
9,6,111244786635,1740833.1372106313
10,6,111222784135,1638570.9876807532
11,6,111199230635,1059803.9398923446
12,6,111171564344,1146689.0824022782
13,6,111142344260,864338.9869754972
14,6,88116613083,381047.6428630967
15,6,88083049499,1530258.4702197355
16,6,88079763916,44997.8081145813
17,6,88059919749,88359.65139356286
18,6,88032934791,155875.72320855563
19,6,87982991541,333731.3775284063
20,6,83508052330,7724.019695852177
21,6,81918034955,4946698.528533906
22,6,81907955746,3561259.562530458
23,6,81895330538,3630470.4281968665
24,6,81882782163,3731602.9931961275
25,6,81869940830,3366176.765628325
26,6,81857114163,3264800.3998877215
27,6,81844253913,3029799.4306010585
28,6,81833469163,36479695.12952475
29,6,81830581455,2997381.603851218
30,6,81818555955,2512456.640147769
31,6,81806643038,2643333.823204673
32,6,81794671330,2433856.4140596907
33,6,81782141871,2179989.562767978
34,6,81769692746,2057380.103935144
35,6,81757660246,2076871.0401267158
36,6,81745409621,1938803.0971015426
37,6,81731891871,1579900.8462115123
38,6,81717573538,1262357.2646034968
39,6,81701359830,927741.887125213
40,6,81682562746,858376.1136462408
41,6,81663732496,765218.0888844852
42,6,81645487705,652332.7550556445
43,6,81094205371,1251475.2207098056
44,6,81071708496,1183481.455338809
45,6,81050471496,883158.8548345473
46,6,81025172454,781895.4709420799
47,6,80589290871,30576355.653796237
48,6,142151269900,102599.16226157056
49,6,112110109469,21626122.28563474
50,6,112106412969,632640.0619442379
51,6,112088586552,2280818.545249943
52,6,112080687427,557628.5343220843
53,6,112060820511,459361.68183262215
54,6,112040687677,373568.1754042028
55,6,112020768344,279369.35774043546
56,6,111973115886,73033.10361925873
57,6,111222749844,275455.34205640986
58,6,111199192760,126281.27395150081
59,6,111171531885,72712.28764998449
60,6,88116604749,365626.5353458027
61,6,88083003791,1179272.4441803365
62,6,88079758249,44787.20653445343
63,6,88059913166,87419.2737643832
64,6,88032926749,152850.9691109686
65,6,87982983583,316603.6345107856
66,6,87913835458,120859.27165292995
67,6,83507855289,2545.52281827893
68,6,81918016371,3699788.9157511094
69,6,81907935663,2636034.818818175
70,6,81895308621,2646614.5833333335
71,6,81882763288,2682028.0322342706
72,6,81869922038,2379788.1450001085
73,6,81857092288,2261969.0737720644
74,6,81844233580,2057440.7457127534
75,6,81833467788,24724413.62094951
76,6,81830562413,1983629.9726330363
77,6,81818534330,1618425.7614727346
78,6,81806623080,1648993.7152178083
79,6,81794639996,1455271.7386444532
80,6,81782107038,1247971.0301618918
81,6,81769672580,1128584.5698892367
82,6,81757640288,1070296.1889149866
83,6,81745379955,919943.7586590062
84,6,81731862413,680480.2129124006
85,6,81717545538,478204.2953447552
86,6,81701323871,291458.5999676971
87,6,81682522205,200572.6401449456
88,6,81663687788,101232.9784741331
89,6,81094159788,278076.9579661348
90,6,81071666663,189582.41282521878
91,6,81050412746,76925.2860857993
92,6,80590445371,9943.181818181818
